# Clock frequency is approx. 1400.0 MHz
# Memory mountain (MB/sec)
15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	8076	4685	3404	2630	1821	1481	1268	1104	1015	976	943	930	923	903	897	
16	8105	4766	3431	2643	1818	1501	1285	1110	1024	976	949	939	922	914	915	
15	8143	4773	2924	2650	1832	1495	1270	1116	1030	984	955	927	926	920	912	
14	8215	4750	3419	2671	1819	1501	1283	1118	1027	981	952	938	923	914	906	
13	8166	4774	3444	2714	1811	1483	1267	1106	1020	983	978	996	1049	1119	1214	
12	10613	6839	5047	4273	3582	3010	2706	2460	2519	2666	2781	3012	3424	3508	4013	
11	20036	14892	11144	8573	7928	6232	5407	4857	4735	4631	4549	4560	4391	4419	4443	
10	20233	15844	11703	9055	8091	6416	5523	4988	4851	4814	4697	4752	4696	4867	5049	
9	20694	17906	14088	10855	9222	7507	6385	5749	5831	5825	5830	5908	5961	6074	6148	
8	21261	20134	16934	12701	10190	8492	7300	6388	6388	6401	6380	6387	6401	6401	6401	
7	21158	19859	16934	12627	10160	8467	7343	6388	6387	6378	6406	6444	6401	6369	6401	
6	21313	19505	16739	12555	10160	8467	7257	6425	6387	6425	6304	6387	6463	8916	13870	
5	22291	21845	20226	18832	18203	19161	17337	17067	18667	18200	18048	18200	16800	17333	16178	
4	22756	21005	20226	18204	18200	18200	17333	15170	15167	15600	12408	13000	14000	11143	12133	
